city,date,wfo,high_point_f,high_range_low_f,high_range_high_f,forecast_high_f,observed_high_f,signed_error_f,abs_error_f,bust_flag,confidence_word,model_disagreement_mentioned,model_disagreement_direction,forecaster_lean,timing_critical,observational_anchor,revised_from_previous,n_uncertainty_phrases,n_bust_risk_words,n_synoptic_drivers,synoptic_drivers,drivers_normalized,key_quote,extraction_failed
LAX,2026-05-08,LOX,,75,89,82.0,69.0,13.0,13.0,1,,False,,none_mentioned,False,False,False,0,0,3,high pressure building|marine layer influence|onshore gradient,marine_layer,There is still a strong marine layer influence today along with a moderate onshore gradient so highs today for most areas will be very similar to Thursday.,False
LAX,2026-05-09,LOX,,85,92,88.5,69.0,19.5,19.5,1,,False,,none_mentioned,False,False,False,0,1,3,upper high|onshore flow|marine inversion,inversion|marine_layer,The vlys will warm into the mid 80s to lower 90s while the lower mtn elevations will peak in the lower to mid 90s.,False
LAX,2026-05-10,LOX,,85,95,90.0,70.0,20.0,20.0,1,,False,,none_mentioned,False,False,False,0,0,3,upper level ridge|onshore flow|marine layer,marine_layer|ridge,"Away from the coast, high temperatures will climb into the mid 80s to mid 90s across the valleys and to near 100 degrees across the deserts.",False
LAX,2026-05-11,LOX,,85,95,90.0,67.0,23.0,23.0,1,,False,,none_mentioned,False,False,False,0,1,3,586 dam ridge|onshore flow|large east Pac sfc high,marine_layer|ridge,Temperatures away from the coast will warm into the 80s and 90s today.,False
LAX,2026-05-12,LOX,,90,,,67.0,,,,,False,,none_mentioned,False,False,False,0,2,3,upper low|onshore pressure gradients|southeasterly upper level flow,upper_low,The lowering heights and much stronger onshore pressure gradients will bring 5 to 10 degrees of cooling across much of the forecast area,False
LAX,2026-05-13,LOX,,55,72,63.5,70.0,-6.5,6.5,1,,False,,none_mentioned,False,True,True,0,0,3,marine layer clouds|strong onshore LAX-DAG gradient|strong inversion,inversion|marine_layer,"Marine layer clouds reached deep into the valleys supported by a strong onshore LAX-DAG gradient, and clouds kept the high temperatures in the cool upper 50s to low 70s.",False
LAX,2026-05-14,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,1,3,weak ridging|onshore flow|cold northwest flow aloft,marine_layer,"Daytime highs will be mild, with coasts and valleys in the upper 60s to upper 70s. East of the mountains, interior valleys and deserts will see highs in the 80s",False
LAX,2026-05-15,LOX,,,,,68.0,,,,,False,,none_mentioned,False,False,False,0,1,2,broad northwest flow|moderate onshore flow,marine_layer,"As for temperatures, will expect near persistence temperatures on Friday.",False
LAX,2026-05-16,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,0,3,inside slider|northwesterly winds|offshore gradients,inversion,Look for 3 to 6 degrees of cooling today everywhere except for the SBA south coast where there will be 4 to 6 degrees of downslope warming.,False
LAX,2026-05-17,LOX,,,,,71.0,,,,,False,,cooler_than_guidance,False,False,False,0,0,3,inside slider|northwesterly upper level support|marine layer stratus,inversion|marine_layer,Max temps will be pretty similar to ydy maybe a little cooler as hgts fall with the upper low's movement.,False
LAX,2026-05-18,LOX,,70,82,76.0,71.0,5.0,5.0,1,,False,,none_mentioned,False,True,False,0,0,3,offshore pressure grads|Santa Ana wind event|lack of cool air advection,downslope,Almost all of the csts and vlys will see 4 to 8 degrees of warming today with max temps across the csts and vlys in the 70s and lower 80s.,False
AUS,2026-02-28,EWX,,,,,87.0,,,,,False,,none_mentioned,False,False,False,0,0,3,lower level thermal ridge|southerly lower level flow|warm northwesterly mid level flow,ridge,The lower level thermal ridge and mixing with a warm northwesterly mid level flow keep temperatures 10 to 17 degrees above average for late February into early March.,False
AUS,2026-03-01,EWX,,,,,86.0,,,,,False,,none_mentioned,False,False,False,0,0,3,moist southerly lower level flow|lower level thermal ridge|warm mid level airmass,moist_air|ridge,The lower level thermal ridge and mixing with a warm mid level airmass keeps temperatures around 10 degrees above average for early March.,False
AUS,2026-03-02,EWX,,85,89,87.0,86.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,2,southerly winds|southerly low level flow off the Gulf,,Highs will be well above normal for our area with mid to upper 80s likely both days,False
AUS,2026-03-03,EWX,,,,,89.0,,,,,False,,none_mentioned,False,False,False,0,0,1,lower level thermal ridge,ridge,"Due to the lower level thermal ridge, little or no changes in the temperature trends are expected.",False
AUS,2026-03-04,EWX,,,,,88.0,,,,,False,,none_mentioned,False,False,False,0,0,3,mid/upper level trough|cold front|lower level thermal ridge,frontal|ridge|trough,The lower level thermal ridge maintains the ongoing temperature trends.,False
AUS,2026-03-05,EWX,,,,,88.0,,,,,False,,none_mentioned,False,False,False,0,0,2,mid/upper level trough|lower level thermal ridge,ridge|trough,The lower level thermal ridge maintains the ongoing temperature trends.,False
AUS,2026-03-06,EWX,,,,,86.0,,,,,True,mixed,none_mentioned,True,False,False,1,1,3,mid/upper level trough|dryline movement|warm layer/capping,inversion|trough,"High temperatures continue well above average all areas today and southern areas on Saturday with the Edwards Plateau, Hill Country, and Central Texas cooling off due to frontal passage being earlier in the day.",False
AUS,2026-03-07,EWX,,,,,77.0,,,,uncertain,True,mixed,none_mentioned,True,False,False,2,2,3,spring cold front|moderate shear|robust CAPE values,frontal,"The combination of the front, moderate shear, and robust CAPE values exceeding 2000 J/kg at times could lead to large hail and damaging winds",False
AUS,2026-03-08,EWX,,,,,67.0,,,,,False,,none_mentioned,False,False,False,0,0,2,dissolving front|low level southerly winds,frontal,"In any event, a seasonably cool and humid day sure beats the hot and dusty conditions we got for much of February.",False
AUS,2026-03-09,EWX,,80,89,84.5,80.0,4.5,4.5,0,,False,,none_mentioned,False,True,False,0,1,4,southerly winds|steepening pressure gradient|upper low|slow destabilization,upper_low,"Breezy and warm conditions continue, and there should be enough insolation in between clouds to get most areas back into the 80s.",False
AUS,2026-03-10,EWX,,,,,85.0,,,,,False,,none_mentioned,False,False,False,1,1,2,upper low|Pacific moisture plume,moist_air|upper_low,the persistent mid clouds and light showery weather should hold the convective temperatures in check until later in the evening.,False
AUS,2026-03-11,EWX,,77,89,83.0,84.0,-1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,3,Pacific front|upper level short wave trough|northwest flow aloft,frontal|trough,Wednesday highs reach the lower to upper 80s across most areas with upper 70s across the southern Edwards Plateau.,False
AUS,2026-03-12,EWX,,65,72,68.5,66.0,2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,3,surface high pressure|northerly winds|sunny skies,,Highs are forecast to stay cooler and slightly below normal average ranging from the mid 60s to lower 70s areawide under sunny skies.,False
AUS,2026-03-13,EWX,,77,85,81.0,81.0,0.0,0.0,0,,False,,none_mentioned,False,False,False,0,0,1,south to southwest flow,,Highs are forecast to reach the upper 70s to mid 80s across South Central Texas with sunny skies and a south to southwest flow,False
AUS,2026-03-14,EWX,,85,89,87.0,86.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,1,2,low-level moisture advance|light southerly flow,moist_air,"Expect these low clouds to erode by afternoon, resulting in a a mostly sunny afternoon featuring highs in the mid to upper 80s for the majority of the region.",False
AUS,2026-03-15,EWX,,95,100,97.5,98.0,-0.5,0.5,0,,False,,none_mentioned,True,False,False,0,0,3,dryline|pre-frontal compressional heating|downslope flow,downslope|frontal,"A couple of Rio Grande locations may near 100F. Father east, a mix of pre-frontal compressional heating with the downslope flow along the Balcones Escarpment may also locally boost temperatures",False
AUS,2026-03-16,EWX,,50,62,56.0,56.0,0.0,0.0,0,,False,,none_mentioned,False,False,False,0,0,3,post-frontal north winds|surface high pressure building|minor disturbance,frontal|post_frontal,A much cooler day will be expected with afternoon highs in the 50s to low 60s.,False
AUS,2026-03-17,EWX,,60,73,66.5,67.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,surface high pressure shifting east|southerly flow|pressure gradient,,"Surface high pressure will be shifting east today, so southerly flow should return after sunrise and kickstart a warming trend.",False
AUS,2026-03-18,EWX,,,,,78.0,,,,,False,,none_mentioned,False,False,False,0,0,3,lower level thermal ridge|mid level ridge|south-southeasterly flow,ridge,The strengthening lower level thermal ridge and mixing with the warming mid levels lead to a warming trend with above average temperatures returning.,False
AUS,2026-03-19,EWX,,,,,86.0,,,,,False,,none_mentioned,False,False,False,0,0,4,mid level ridge|southerly flow|ridge expansion|subsidence,ridge,Mixing with the warming temperatures aloft due to the ridge expansion maintains the warming trend with highs around the records Friday.,False
AUS,2026-03-20,EWX,,90,100,95.0,90.0,5.0,5.0,1,,False,,warmer_than_guidance,False,False,True,0,0,2,anomalously strong mid to upper level high|south to southeast boundary layer flow,frontal,"The blended model guidance looks to be a little cool, and we have adjusted highs up a couple of degrees Saturday.",False
AUS,2026-03-21,EWX,,90,100,95.0,93.0,2.0,2.0,0,,False,,warmer_than_guidance,False,False,True,0,0,2,upper high|strengthen the ridge over TX,ridge,"The blended model guidance looks to be a little cool again, and we have adjusted highs up a couple of degrees today and Sunday.",False
AUS,2026-03-22,EWX,,90,99,94.5,93.0,1.5,1.5,0,,False,,none_mentioned,False,False,False,0,0,2,upper level ridge|moderate southerly winds,ridge,Dry and warm conditions are forecast for Sunday with highs in the low to upper 90s most areas and even getting to the 100 degrees over parts of the Rio Grande.,False
AUS,2026-03-23,EWX,,80,92,86.0,88.0,-2.0,2.0,0,,False,,none_mentioned,True,False,False,0,0,2,weak frontal boundary|southerly flow,frontal,Forecast Monday's highs range from the low to mid 80s across the Hill Country to upper 80s along the I-35 Corridor to low 90s over the southern portion of the Rio Grande.,False
AUS,2026-03-24,EWX,,85,92,88.5,88.0,0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,1,mid-level ridging,,"eventually climbing into the mid to upper 80s in all locations outside of the Rio Grande Plains, where highs will soar into the lower 90s.",False
AUS,2026-03-25,EWX,,85,92,88.5,90.0,-1.5,1.5,0,,False,,none_mentioned,False,False,True,0,0,3,high pressure|lee-side surface trough|breezy south winds,downslope|trough,This pattern will continue to result in dry weather along with above normal temperatures across south central Texas.,False
AUS,2026-03-26,EWX,,80,93,86.5,89.0,-2.5,2.5,0,,True,mixed,none_mentioned,False,False,False,1,0,2,mid-level ridging|surface low,,Highs will still be in the 80s and lower 90s despite the front moving in.,False
AUS,2026-03-27,EWX,,60,89,74.5,88.0,-13.5,13.5,1,,True,warmer,none_mentioned,True,False,True,0,0,2,strong cold front|frontal passage,frontal,"This should result in a rather stark temperature contrast from west to east Friday, with highs in 60s west, and the mid to upper 80s east.",False
AUS,2026-03-28,EWX,,55,73,64.0,74.0,-10.0,10.0,1,,False,,none_mentioned,False,True,False,0,0,3,strong cold front|northerly winds|isentropic lift,frontal,High temperatures today will be as much as 20+ degrees cooler than Friday in the upper 50s to lower 70s.,False
AUS,2026-03-29,EWX,,80,99,89.5,85.0,4.5,4.5,0,,False,,none_mentioned,False,False,False,0,0,2,upper level ridge|southeasterly winds,ridge,Back into the 80s today and some 90s Monday.,False
AUS,2026-03-30,EWX,,85,92,88.5,89.0,-0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,1,zonal flow,,Expect dry weather with highs in the upper 80s to low 90s for both tomorrow and Tuesday.,False
AUS,2026-03-31,EWX,,,,,90.0,,,,,False,,none_mentioned,False,False,False,1,1,4,moist southerly lower level flow|daytime heating/mixing|lower level thermal ridging|capping inversion,inversion|moist_air,A lower level thermal ridging continues the well above average temperatures while a capping inversion keeps rain out of the forecast.,False
AUS,2026-04-01,EWX,,,,,92.0,,,,,False,,none_mentioned,False,False,False,0,0,2,southerly lower level flow|moist airmass,moist_air,Southerly lower level flow maintains well above average temperatures as well as a moist airmass.,False
AUS,2026-04-02,EWX,,,,,87.0,,,,,False,,none_mentioned,False,False,False,0,0,3,mid to upper level trough|dryline|southeasterly flow,trough,"Above average temperatures today through Saturday, then below average Easter Sunday through Tuesday.",False
AUS,2026-04-03,EWX,,70,80,75.0,84.0,-9.0,9.0,1,,False,,none_mentioned,False,False,False,0,0,3,mid to upper level trough|southeast low level flow|dryline,trough,The airmass remains warm and moist with temperatures in 70s to near 80 and dewpoints in the 60s.,False
AUS,2026-04-04,EWX,,70,89,79.5,78.0,1.5,1.5,0,,False,,none_mentioned,False,False,False,0,0,2,cold front passage|surface low strengthening,frontal,"Cooler temperatures will accompany this cold front, with highs going from the 70s and 80s Saturday, to the upper 50s to mid 60s Easter Sunday.",False
AUS,2026-04-05,EWX,,,,,65.0,,,,,False,,none_mentioned,False,True,False,0,0,3,northerly winds|weak mid-level disturbance|frontal boundary,frontal,Much cooler for Easter Sunday with on and off showers and overcast skies.,False
AUS,2026-04-06,EWX,,70,75,72.5,74.0,-1.5,1.5,0,,False,,none_mentioned,False,False,False,0,1,2,high pressure|northern and easterly flow,,Expect highs in the lower to middle 70s along with mixed sun and clouds by the afternoon hours.,False
AUS,2026-04-07,EWX,,70,79,74.5,77.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,2,surface high sliding east|southeast winds,inversion,"After a cool and somewhat chilly start to the day, expect a pleasant afternoon with lighter winds and highs in the 70s.",False
AUS,2026-04-08,EWX,,77,82,79.5,82.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,1,Southeasterly wind,,Highs remain mild in the upper 70s to low 80s with dry conditions today.,False
AUS,2026-04-09,EWX,,,,,84.0,,,,,False,,warmer_than_guidance,False,False,False,0,0,4,southeasterly low-level flow|onshore flow|shortwave|sea breeze,marine_layer,Temperatures will continue to run near to slightly above average.,False
AUS,2026-04-10,EWX,,75,85,80.0,82.0,-2.0,2.0,0,,False,,none_mentioned,False,False,False,0,0,3,onshore flow|warm airmass|daytime heating,marine_layer,High temperatures in the short term range from the mid 70s across the Hill Country to the low to mid 80s elsewhere,False
AUS,2026-04-11,EWX,,,,,84.0,,,,,False,,none_mentioned,False,False,False,0,0,3,humid Gulf airmass|mid-level vorticity lull|shortwave trough,moist_air|trough,"A humid Gulf airmass persists across Texas this weekend, with moisture content forecast to rise towards the upper percentiles of the historical distribution for mid-April.",False
AUS,2026-04-12,EWX,,,,,80.0,,,,uncertain,True,mixed,none_mentioned,True,False,False,2,3,3,surface boundary|warm and moist airmass|subtle shortwave,frontal|moist_air,The forecast during the day Sunday is more uncertain than usual.,False
AUS,2026-04-13,EWX,,80,93,86.5,89.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,3,upper-level shortwave|low-level southerly flow|southwesterly flow aloft,,"Highs both Monday and Tuesday are forecast to be in the 80s to low 90s, with humid air prevailing.",False
AUS,2026-04-14,EWX,,80,89,84.5,88.0,-3.5,3.5,0,,True,,none_mentioned,False,False,False,1,1,4,moist southerly flow|weak mid-level shortwave|approaching upper-trough|dry line,moist_air|trough,"Daytime temperatures today and Wednesday remain roughly seasonably warm, with highs generally in the 80s for most.",False
AUS,2026-04-15,EWX,,,,,86.0,,,,,False,,blended,False,True,False,1,1,2,unstable SW flow aloft|Pacific moisture,moist_air,"With the near midnight observation of heavy lightning and storms that are starting to train a bit, we could see some flash flooding take place",False
AUS,2026-04-16,EWX,,85,95,90.0,89.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,2,mid-level ridging|south to southeasterly low-level flow,,Cloud cover will begin to scatter mid to late morning with partly sunny skies and highs from the mid 80s to mid 90s during the afternoon.,False
AUS,2026-04-17,EWX,,85,95,90.0,89.0,1.0,1.0,0,,False,,none_mentioned,False,False,False,0,0,3,upper level trough|surface low|high pressure,trough,We should see some sunshine as well today as clouds scatter mid to late morning leaving afternoon highs warm in the upper 80s to mid 90s.,False
AUS,2026-04-18,EWX,,,,,74.0,,,,low,True,mixed,none_mentioned,True,False,False,1,1,2,strong cold front|low amplitude shortwave ridge,frontal|ridge,This leaves us with a low confidence short term forecast on trying to catch the timing and intensity of the stronger activity,False
AUS,2026-04-19,EWX,,,,,72.0,,,,,True,cooler,none_mentioned,False,False,True,0,2,3,drier airmass|cloud cover|shortwave ridge,ridge,Today's highs will also be moderated by cloud cover with our coolest makes possibly being over the southwest counties where there might still be rain as well.,False
AUS,2026-04-20,EWX,,50,66,58.0,62.0,-4.0,4.0,0,,False,,none_mentioned,False,True,False,0,1,3,upper-level ridging moving off|overrunning|thick cloud cover,,Temperatures look to stay fairly cool for this time of year as many areas remain locked under showers and thick cloud cover with areas remaining in the 50s and perhaps mid 60s.,False
AUS,2026-04-21,EWX,,70,77,73.5,64.0,9.5,9.5,1,low,True,mixed,none_mentioned,False,False,False,1,1,4,shortwave|southerly transport|CAA|developing shortwave ridge,ridge,Expect rain cooled air and CAA once again to limit afternoon high temperatures with most barely hitting 70 degrees.,False
AUS,2026-04-22,EWX,,80,85,82.5,85.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,2,light rain|southerly flow,convective,Wednesday's highs are forecast to stay in the low to mid 80s for the most part.,False
AUS,2026-04-23,EWX,,90,97,93.5,83.0,10.5,10.5,1,,False,,none_mentioned,False,False,False,0,0,1,dry and warm pattern,,"Otherwise, a dry and warm pattern begins today with highs in the mid to upper 90s over most places and low 90s along the Rio Grande",False
AUS,2026-04-24,EWX,,88,92,90.0,90.0,0.0,0.0,0,,False,,none_mentioned,False,True,False,0,1,2,low clouds|instability,marine_layer,Today's highs are forecast to range from the upper 80s to low 90s.,False
AUS,2026-04-25,EWX,,90,99,94.5,90.0,4.5,4.5,0,,False,,none_mentioned,True,False,False,0,2,3,cap|dry-line|daytime heating,,Another hot and humid day is in store with highs ranging from the low to upper 90s and heat index values in the mid to upper 90s,False
AUS,2026-04-26,EWX,,90,99,94.5,88.0,6.5,6.5,1,,False,,none_mentioned,True,False,False,1,1,2,abundant moisture|low clouds,marine_layer|moist_air,Highs are likely to top out in the low 90s across the eastern half with mid to upper 90s across the western half with some areas touching 100 degrees.,False
AUS,2026-04-27,EWX,,90,99,94.5,89.0,5.5,5.5,1,,False,,none_mentioned,False,True,False,0,1,3,upper level ridge|southwest flow|low level high pressure,ridge,Highs will be in the 90s with a few spots in the southwest approaching 100.,False
AUS,2026-04-28,EWX,,99,104,101.5,91.0,10.5,10.5,1,,True,cooler,cooler_than_guidance,False,True,True,1,2,3,low clouds|capping inversion|differential heating,inversion|marine_layer,I'll make adjustments based on these observations the last few days and this may keep the elevated heat indices a little farther away from Heat Advisory criteria,False
AUS,2026-04-29,EWX,,75,82,78.5,80.0,-1.5,1.5,0,,False,,none_mentioned,True,False,False,0,0,3,cold front passage|low amplitude upper level ridge|south-southeast low level flow,frontal|ridge,The cold front will move through our CWA during the day today. This will bring chances for showers and thunderstorms moving from north to south through the day.,False
AUS,2026-04-30,EWX,,,,,72.0,,,,,False,,none_mentioned,True,False,False,0,0,3,low amplitude upper level ridge|cold front|upper trough,frontal|ridge|trough,The front will stall somewhere around our southern border today. This will mean additional chances for showers and thunderstorms during the day today,False
AUS,2026-05-01,EWX,,,,,64.0,,,,,False,,none_mentioned,False,True,False,0,0,4,upper trough|southwesterly flow|stalled front|moist airmass,frontal|moist_air|trough,The upper trough will move across TX today providing a lifting mechanism to interact with our very moist airmass.,False
AUS,2026-05-02,EWX,,70,75,72.5,75.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,1,surface high pressure building,,"Today is a great day to enjoy the outdoors after yesterday's soggy and wet conditions, with afternoon highs in the low to mid 70s under mostly sunny skies.",False
AUS,2026-05-03,EWX,,77,83,80.0,80.0,0.0,0.0,0,,False,,none_mentioned,False,False,False,0,0,3,dry air|ridging aloft|weak southerly wind pattern,dry_air,leading to a slightly warmer Sunday in the upper 70s to low 80s under mostly sunny skies.,False
AUS,2026-05-04,EWX,,85,89,87.0,83.0,4.0,4.0,0,,False,,none_mentioned,False,False,False,0,0,3,mostly sunny skies|pressure falls|low-level winds,,"The warming trend continues with highs today expected to reach the mid 80s for most of the area, with upper 80s in the Winter Garden region",False
AUS,2026-05-05,EWX,,85,100,92.5,86.0,6.5,6.5,1,,False,,none_mentioned,False,False,False,0,1,3,southerly wind|increased cloudiness|Mexican plateau air aloft,,"This air is forecast to lead to widespread highs above the mid 80s for most of the region, but for the sunnier spots along the Rio Grande and Winter Garden region those highs could spike into the upper 90s to near 100.",False
AUS,2026-05-06,EWX,,80,89,84.5,78.0,6.5,6.5,1,,False,,none_mentioned,True,False,False,1,1,3,approaching cold front|retreating dryline|strong capping,frontal|inversion,Most locations should still climb into the 80s Wednesday before the front passes through in the late afternoon and evening hours.,False
